Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date,Symbol,Company Name,Market Cap,Stock Price,Revenue,MA20,MA50,MA200,20-Day Percent Change,100-Day Percent Change,News1,News2,News3,News4,News5,combined_news,sentiment,Sentiment_News1,Sentiment_News2,Sentiment_News3,Sentiment_News4,Sentiment_News5
355.35M,"1,165,092",2.09B,-1,"86,088",486.55,Buy,444.14,"Oct 17, 2024",SNY,Sanofi,140.76B,56.21,50.44B,5.61%,10.10%,14.98%,+8.30%,+18.75%,"Healthy Returns: The combination Covid, flu shot race is heating up",Nurix Therapeutics price target raised to $30 from $27 at Oppenheimer,Buy Rating Affirmed for Sanofi on Strong Clinical Trial Outcomes and Promising MS Drug Pipeline,Sanofi (SNY) Gets a Hold from TD Cowen,Deutsche Bank Sticks to Its Sell Rating for Sanofi (SNYNF),"Healthy Returns: The combination Covid, flu shot race is heating up Nurix Therapeutics price target raised to $30 from $27 at Oppenheimer Buy Rating Affirmed for Sanofi on Strong Clinical Trial Outcomes and Promising MS Drug Pipeline Sanofi (SNY) Gets a Hold from TD Cowen Deutsche Bank Sticks to Its Sell Rating for Sanofi (SNYNF)",0,1,1,1,1,1
824.40M,"6,696,957",7.45B,$1.60,"95,000",202.67,Buy,225.15,"Aug 15, 2024",HON,Honeywell International Inc.,131.55B,202.48,37.33B,2.92%,-0.87%,2.36%,+0.12%,+3.98%,"Calls of the Day: Oracle, Costco, Energy Transfer, Spotify and Honeywell",Jim Cramer’s top 10 things to watch in the stock market Friday,"Monday, August 26, 2024: Cramer explains why he’s ‘concerned’ ahead of this chipmaker’s earnings",Cramer updates his takes on all 32 portfolio stocks and grades earnings reports,Honeywell initiated with an Equal Weight at Morgan Stanley,"Calls of the Day: Oracle, Costco, Energy Transfer, Spotify and Honeywell Jim Cramer’s top 10 things to watch in the stock market Friday Monday, August 26, 2024: Cramer explains why he’s ‘concerned’ ahead of this chipmaker’s earnings Cramer updates his takes on all 32 portfolio stocks and grades earnings reports Honeywell initiated with an Equal Weight at Morgan Stanley",1,1,0,0,0,1
3.87B,"11,120,225",15.09B,$1.24,"13,450",39.82,Buy,47.02,"Oct 24, 2024",REGN,"Regeneron Pharmaceuticals, Inc.",129.43B,"1,199.12",13.49B,5.72%,10.10%,24.55%,+11.13%,+27.22%,Election 2024: Where To Put Your Money Ahead of the Vote,RBC Capital Keeps Their Buy Rating on Regeneron (REGN),"QQQ ETF Update, 8/29/2024 ",Regeneron announces EC approved Ordspono for adults,Ordspono™ (odronextamab) Approved in the European Union for the Treatment of Relapsed/Refractory Follicular Lymphoma and Diffuse Large B-cell Lymphoma,"Election 2024: Where To Put Your Money Ahead of the Vote RBC Capital Keeps Their Buy Rating on Regeneron (REGN) QQQ ETF Update, 8/29/2024  Regeneron announces EC approved Ordspono for adults Ordspono™ (odronextamab) Approved in the European Union for the Treatment of Relapsed/Refractory Follicular Lymphoma and Diffuse Large B-cell Lymphoma",1,1,0,0,0,1
1.05B,"5,991,731",424.00M,-1,"23,600",135.63,Buy,130.00,"Jul 31, 2024",BKNG,Booking Holdings Inc.,128.42B,"3,830.58",22.40B,8.20%,2.23%,8.03%,+4.93%,+8.23%,"Calls of the Day: Cisco Systems, Visa, Booking Holdings, Freeport-McMoRan and Star Bulk Carrier","Wednesday’s rapid fire: Dollar Tree, Zscaler, Hormel Foods, Booking Holdings, Linde","Wednesday’s top analyst calls: Nvidia, Apple, Microsoft, Amazon and more","Analyst calls: Super Micro gets a downgrade, aluminum products stock to pop 20%",Travelers are finally cracking under the pressure of high costs,"Calls of the Day: Cisco Systems, Visa, Booking Holdings, Freeport-McMoRan and Star Bulk Carrier Wednesday’s rapid fire: Dollar Tree, Zscaler, Hormel Foods, Booking Holdings, Linde Wednesday’s top analyst calls: Nvidia, Apple, Microsoft, Amazon and more Analyst calls: Super Micro gets a downgrade, aluminum products stock to pop 20% Travelers are finally cracking under the pressure of high costs",1,0,1,1,1,0
1.25B,"978,653",4.52B,$2.04,"5,400",56.21,Buy,57.50,"Jul 25, 2024",VRTX,Vertex Pharmaceuticals Incorporated,124.21B,481.24,10.34B,-0.02%,-0.25%,11.82%,-1.21%,+20.42%,"Lightning Round: Chipotle is likely done going down, says Jim Cramer",Cramer’s Lightning Round: Builders FirstSource ‘can go higher’,"Ride out future market volatility with all-weather stocks, Bank of America says",Evercore ISI Reaffirms Their Buy Rating on Vertex Pharmaceuticals (VRTX),Vertex Pharmaceuticals: A Cautious Hold Amidst Mixed Financial Signals and Pipeline Uncertainty,"Lightning Round: Chipotle is likely done going down, says Jim Cramer Cramer’s Lightning Round: Builders FirstSource ‘can go higher’ Ride out future market volatility with all-weather stocks, Bank of America says Evercore ISI Reaffirms Their Buy Rating on Vertex Pharmaceuticals (VRTX) Vertex Pharmaceuticals: A Cautious Hold Amidst Mixed Financial Signals and Pipeline Uncertainty",1,0,0,1,0,0
649.67M,"1,717,257",5.78B,$4.32,"43,000",202.48,Buy,225.00,"Jul 25, 2024",MU,"Micron Technology, Inc.",114.04B,102.85,21.37B,-1.96%,-16.75%,-5.68%,-13.62%,-23.24%,Wednesday’s stock stories: What’s likely to move the market in the next session,"Three-Stock Lunch: Boeing, Micron, Redfin","Stocks making the biggest moves midday: Cleanspark, Vaxcyte, Unity Software and more","Dow closes 600 points lower to begin September, S&P 500 drops 2%",Morgan Stanley is bullish on 3 stocks from a corner of the semiconductor sector,"Wednesday’s stock stories: What’s likely to move the market in the next session Three-Stock Lunch: Boeing, Micron, Redfin Stocks making the biggest moves midday: Cleanspark, Vaxcyte, Unity Software and more Dow closes 600 points lower to begin September, S&P 500 drops 2% Morgan Stanley is bullish on 3 stocks from a corner of the semiconductor sector",1,0,1,1,1,1
107.93M,"238,223",4.32B,-1,"13,948","1,199.12",Buy,"1,091.83","Aug 1, 2024",PANW,"Palo Alto Networks, Inc.",113.57B,350.75,8.03B,5.91%,6.03%,13.80%,+7.92%,+30.27%,"Palo Alto CEO on CrowdStrike fallout, IBM deal and cybersecurity issues",These stocks typically have the best and worst Septembers,Jim Cramer’s top 10 things to watch in the stock market Wednesday,Can tech stocks go up with rates coming down? Here’s why we think so,It’s been nearly a year since we took profits in Lilly. We’re due for another trim,"Palo Alto CEO on CrowdStrike fallout, IBM deal and cybersecurity issues These stocks typically have the best and worst Septembers Jim Cramer’s top 10 things to watch in the stock market Wednesday Can tech stocks go up with rates coming down? Here’s why we think so It’s been nearly a year since we took profits in Lilly. We’re due for another trim",0,0,0,0,0,0
33.52M,"217,547",5.03B,$35.00,"26,000","3,830.58",Buy,"4,063.00","Aug 1, 2024",ADI,"Analog Devices, Inc.",113.39B,228.39,9.70B,6.36%,2.51%,13.40%,-1.82%,+16.64%,These stocks have the most riding on Nvidia’s results with highest correlation,"Retail earnings lift other boats — plus, stocks take negative jobs update in stride","Stocks making the biggest moves midday: Target, JD.com, Macy’s and more","S&P 500, Nasdaq close higher as Fed minutes lift investors’ hopes for a September rate cut","Why we’ve raised cash into the rally — plus, earnings insights on 2 of our stocks","These stocks have the most riding on Nvidia’s results with highest correlation Retail earnings lift other boats — plus, stocks take negative jobs update in stride Stocks making the biggest moves midday: Target, JD.com, Macy’s and more S&P 500, Nasdaq close higher as Fed minutes lift investors’ hopes for a September rate cut Why we’ve raised cash into the rally — plus, earnings insights on 2 of our stocks",1,1,1,1,1,0
258.10M,"877,494",-489.90M,-1,"17,200",481.24,Buy,495.82,"Aug 1, 2024",LRCX,Lam Research Corporation,110.48B,847.37,14.91B,-1.41%,-13.60%,-7.39%,-12.61%,-16.88%,"Lightning Round: Buy Lam Research slowly, not all at once",Cramer’s Lightning Round: ‘I like’ GE Vernova,Trade Tracker: Stephanie Link trims Lam Research,Lam Research Appoints New Board Members with Diverse Expertise,Unusually active option classes on open August 30th,"Lightning Round: Buy Lam Research slowly, not all at once Cramer’s Lightning Round: ‘I like’ GE Vernova Trade Tracker: Stephanie Link trims Lam Research Lam Research Appoints New Board Members with Diverse Expertise Unusually active option classes on open August 30th",0,0,0,0,0,0
1.11B,"24,264,183",-1.54B,$0.46,"64,000",102.85,Strong Buy,157.42,"Sep 25, 2024",ADP,"Automatic Data Processing, Inc.",109.94B,269.60,19.20B,4.33%,9.37%,12.53%,+3.83%,+11.37%,Salesforce CEO explains how customers use new platform ‘Agentforce’,Jackson Hole technical trade: BTIG says these stocks are buys ahead of Powell speech,ADP price target raised to $285 from $250 at JPMorgan,,,Salesforce CEO explains how customers use new platform ‘Agentforce’ Jackson Hole technical trade: BTIG says these stocks are buys ahead of Powell speech ADP price target raised to $285 from $250 at JPMorgan,0,0,0,0,-1,-1
323.80M,"3,144,385",2.58B,-1,"15,230",350.75,Buy,371.26,"Aug 19, 2024",KLAC,KLA Corporation,109.94B,817.84,9.81B,4.70%,0.96%,18.04%,-2.28%,+17.78%,"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more",Wednesday’s stock stories: What’s likely to move the market in the next session,"Stocks making the biggest moves midday: Cleanspark, Vaxcyte, Unity Software and more","Dow closes 600 points lower to begin September, S&P 500 drops 2%",KLA Corp. raises quarterly dividend 17% to $1.70 from $1.45 per share,"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more Wednesday’s stock stories: What’s likely to move the market in the next session Stocks making the biggest moves midday: Cleanspark, Vaxcyte, Unity Software and more Dow closes 600 points lower to begin September, S&P 500 drops 2% KLA Corp. raises quarterly dividend 17% to $1.70 from $1.45 per share",1,1,0,1,1,0
496.49M,"2,528,087",1.66B,$3.68,"381,000",228.39,Buy,243.52,"Aug 21, 2024",SBUX,Starbucks Corporation,106.54B,94.02,36.48B,16.21%,23.43%,12.10%,+22.26%,+9.73%,"88 corporate leaders endorse Harris, including CEOs of Yelp, Box","4 simple steps to ‘make yourself indispensable’ at work, says bestselling author",Best Buy is the stock of the summer — plus 2 more encouraging economic updates,These stocks outperformed in August. Here’s where they’re expected to go,Jim Cramer: Starbucks’ stock will shoot higher under incoming CEO Brian Niccol,"88 corporate leaders endorse Harris, including CEOs of Yelp, Box 4 simple steps to ‘make yourself indispensable’ at work, says bestselling author Best Buy is the stock of the summer — plus 2 more encouraging economic updates These stocks outperformed in August. Here’s where they’re expected to go Jim Cramer: Starbucks’ stock will shoot higher under incoming CEO Brian Niccol",0,1,1,0,1,0
130.38M,"1,109,642",3.83B,$8.00,"58,313",847.37,Strong Buy,983.19,"Oct 16, 2024",MELI,"MercadoLibre, Inc.",101.41B,"2,000.31",17.11B,8.30%,16.94%,24.94%,+19.55%,+32.86%,Cantor Fitzgerald Internet analyst to hold an analyst/industry conference call,"MercadoLibre initiated with an Overweight, called a ‘Top Pick’ at Cantor","MercadoLibre price target raised to $2,350 from $2,300 at Susquehanna","MercadoLibre price target raised to $2,250 from $2,100 at Jefferies",StockTok: Meta revises limits on ad data to assuage CMA scrutiny,"Cantor Fitzgerald Internet analyst to hold an analyst/industry conference call MercadoLibre initiated with an Overweight, called a ‘Top Pick’ at Cantor MercadoLibre price target raised to $2,350 from $2,300 at Susquehanna MercadoLibre price target raised to $2,250 from $2,100 at Jefferies StockTok: Meta revises limits on ad data to assuage CMA scrutiny",0,1,1,1,0,1
407.80M,"776,708",3.75B,$5.60,"18,000",269.60,Hold,262.82,"Jul 31, 2024",GILD,"Gilead Sciences, Inc.",95.52B,76.72,27.81B,2.48%,6.77%,5.30%,+3.29%,+12.91%,Gilead alleges it uncovered a drug-counterfeiting operation at 2 NYC pharmacies,Gilead Sciences: A Balanced Hold Rating Amidst Growth Potential and Market Challenges,Gilead price target raised to $74 from $72 at RBC Capital,Gilead Sciences (GILD) Gets a Hold from RBC Capital,Gilead put volume heavy and directionally bearish,Gilead alleges it uncovered a drug-counterfeiting operation at 2 NYC pharmacies Gilead Sciences: A Balanced Hold Rating Amidst Growth Potential and Market Challenges Gilead price target raised to $74 from $72 at RBC Capital Gilead Sciences (GILD) Gets a Hold from RBC Capital Gilead put volume heavy and directionally bearish,1,0,1,0,0,1
134.43M,"776,009",2.76B,$5.80,"91,000",817.84,Buy,805.55,"Jul 24, 2024",MDLZ,"Mondelez International, Inc.",95.15B,71.23,35.98B,1.86%,5.19%,1.42%,+4.24%,+4.79%,"Likely policies under a Harris presidency and the stocks impacted, according to Jefferies",Cheap stocks to buy for the long term during the volatility,Turn to these dividend growers as the Fed cuts rates,"Jim Cramer prefers Mondelez over this food peer — plus, his take on 4 more stocks",Jim Cramer’s top 10 things to watch in the stock market Monday,"Likely policies under a Harris presidency and the stocks impacted, according to Jefferies Cheap stocks to buy for the long term during the volatility Turn to these dividend growers as the Fed cuts rates Jim Cramer prefers Mondelez over this food peer — plus, his take on 4 more stocks Jim Cramer’s top 10 things to watch in the stock market Monday",0,0,0,0,0,0
1.13B,"10,812,035",4.07B,$2.28,"124,800",94.02,Buy,99.18,"Jul 30, 2024",INTC,Intel Corporation,87.83B,20.54,55.12B,-8.05%,-28.46%,-46.23%,-36.21%,-49.34%,This semiconductor ETF just had its worst week since 2020. Here’s what’s next,"Stocks making the biggest moves midday: Intel, Nio, Broadcom and more",Jim Cramer’s top 10 things to watch in the stock market Friday,Nvidia says it didn’t receive antitrust subpoena from DOJ,"Cramer says ‘don’t be a hero’ on Nvidia, downplays AI spending concerns and DOJ probe","This semiconductor ETF just had its worst week since 2020. Here’s what’s next Stocks making the biggest moves midday: Intel, Nio, Broadcom and more Jim Cramer’s top 10 things to watch in the stock market Friday Nvidia says it didn’t receive antitrust subpoena from DOJ Cramer says ‘don’t be a hero’ on Nvidia, downplays AI spending concerns and DOJ probe",0,0,1,0,0,0
50.70M,"181,637",1.40B,-1,"20,300","2,000.31",Strong Buy,"2,089.09","Aug 1, 2024",SNPS,"Synopsys, Inc.",82.86B,539.39,6.48B,-1.72%,-8.24%,-5.97%,-8.66%,-11.38%,Jim Cramer says these 2 stocks show investors are nervous about Nvidia’s earnings,Cramer’s Stop Trading: Synopsys,Cramer looks at reasons for the market decline and provides new views on 3 stocks,Synopsys CEO on Q3 earnings,"This little-known chip design stock benefits from AI, Bank of America says","Jim Cramer says these 2 stocks show investors are nervous about Nvidia’s earnings Cramer’s Stop Trading: Synopsys Cramer looks at reasons for the market decline and provides new views on 3 stocks Synopsys CEO on Q3 earnings This little-known chip design stock benefits from AI, Bank of America says",0,1,0,0,0,1
1.24B,"2,897,238",1.05B,$3.08,"46,500",76.72,Buy,81.81,"Aug 8, 2024",CTAS,Cintas Corporation,79.46B,788.50,9.60B,4.58%,8.06%,22.38%,+4.43%,+18.42%,"QQQ ETF Update, 9/6/2024 ","QQQ ETF Update, 9/4/2024 ","QQQ ETF Update, 8/29/2024 ","QQQ ETF Update, 8/27/2024 ","QQQ ETF Update, 8/23/2024 ","QQQ ETF Update, 9/6/2024  QQQ ETF Update, 9/4/2024  QQQ ETF Update, 8/29/2024  QQQ ETF Update, 8/27/2024  QQQ ETF Update, 8/23/2024 ",0,0,0,0,0,0
